"danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","name","popularity","artist","in_playlist"
"0.518","0.906","9","-2.845","1","0.0573","0.0889","0","0.309","0.751","174.099","audio_features","1vD4DN56ued7pQklJBDesw","spotify:track:1vD4DN56ued7pQklJBDesw","https://api.spotify.com/v1/tracks/1vD4DN56ued7pQklJBDesw","https://api.spotify.com/v1/audio-analysis/1vD4DN56ued7pQklJBDesw","165693","4","American Ride","57","Toby Keith","0"
"0.594","0.824","9","-4.252","1","0.0458","0.0617","0","0.0861","0.671","116.005","audio_features","0w3Q14i073jLoew1hgJkwD","spotify:track:0w3Q14i073jLoew1hgJkwD","https://api.spotify.com/v1/tracks/0w3Q14i073jLoew1hgJkwD","https://api.spotify.com/v1/audio-analysis/0w3Q14i073jLoew1hgJkwD","205200","4","Heartache On The Dance Floor","73","Jon Pardi","0"
"0.375","0.889","3","-3.704","1","0.0991","0.0848","0","0.136","0.881","199.669","audio_features","4P92FrvmYQSAfOpp4cpFEi","spotify:track:4P92FrvmYQSAfOpp4cpFEi","https://api.spotify.com/v1/tracks/4P92FrvmYQSAfOpp4cpFEi","https://api.spotify.com/v1/audio-analysis/4P92FrvmYQSAfOpp4cpFEi","185200","4","Simple","47","Florida Georgia Line","0"
"0.639","0.846","9","-6.184","0","0.0439","0.0325","0","0.116","0.475","115.965","audio_features","3M31S6f0z8S3nkFh3eS06W","spotify:track:3M31S6f0z8S3nkFh3eS06W","https://api.spotify.com/v1/tracks/3M31S6f0z8S3nkFh3eS06W","https://api.spotify.com/v1/audio-analysis/3M31S6f0z8S3nkFh3eS06W","224813","4","Drink to That All Night","64","Jerrod Niemann","0"
"0.557","0.825","6","-4.657","1","0.0283","0.00525","0.00164","0.177","0.841","120.015","audio_features","4Ng7hGdPwpINleVecBWiOO","spotify:track:4Ng7hGdPwpINleVecBWiOO","https://api.spotify.com/v1/tracks/4Ng7hGdPwpINleVecBWiOO","https://api.spotify.com/v1/audio-analysis/4Ng7hGdPwpINleVecBWiOO","201120","4","Free And Easy (Down The Road I Go)","53","Dierks Bentley","0"
"0.603","0.944","7","-4.157","1","0.0481","0.0496","7.23E-05","0.152","0.911","144.026","audio_features","45vYrwyBrzq8y2RdEsgjgK","spotify:track:45vYrwyBrzq8y2RdEsgjgK","https://api.spotify.com/v1/tracks/45vYrwyBrzq8y2RdEsgjgK","https://api.spotify.com/v1/audio-analysis/45vYrwyBrzq8y2RdEsgjgK","224027","4","Hillbilly Bone (feat. Trace Adkins)","41","Blake Shelton","0"
"0.679","0.842","5","-4.364","1","0.0376","0.275","0","0.135","0.72","119.013","audio_features","7G6l2FtQyRhQgYgut2I6i8","spotify:track:7G6l2FtQyRhQgYgut2I6i8","https://api.spotify.com/v1/tracks/7G6l2FtQyRhQgYgut2I6i8","https://api.spotify.com/v1/audio-analysis/7G6l2FtQyRhQgYgut2I6i8","227840","4","As Good As I Once Was","63","Toby Keith","0"
"0.685","0.783","11","-4.152","1","0.0276","0.116","0","0.194","0.525","90.008","audio_features","7f08qp3HROTkfrtNpiYGGo","spotify:track:7f08qp3HROTkfrtNpiYGGo","https://api.spotify.com/v1/tracks/7f08qp3HROTkfrtNpiYGGo","https://api.spotify.com/v1/audio-analysis/7f08qp3HROTkfrtNpiYGGo","201893","4","Dirt On My Boots","70","Jon Pardi","0"
"0.464","0.813","10","-6.185","1","0.0416","0.0153","0","0.254","0.516","75.975","audio_features","6xHI9KjUjYT0FPtGO8Mxa1","spotify:track:6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/tracks/6xHI9KjUjYT0FPtGO8Mxa1","https://api.spotify.com/v1/audio-analysis/6xHI9KjUjYT0FPtGO8Mxa1","222533","4","Hurricane","76","Luke Combs","0"
"0.464","0.853","2","-3.767","1","0.0417","0.055","0","0.191","0.76","163.934","audio_features","1rOoICPf1JpkRpX5PNuJt2","spotify:track:1rOoICPf1JpkRpX5PNuJt2","https://api.spotify.com/v1/tracks/1rOoICPf1JpkRpX5PNuJt2","https://api.spotify.com/v1/audio-analysis/1rOoICPf1JpkRpX5PNuJt2","187613","4","Take a Little Ride","5","Jason Aldean","0"
